"DOTA_Tooltip_modifier_star_indicator" 		"STAR"
"DOTA_Tooltip_ability_oracle_3_radius" 			"Radius: "
"DOTA_Tooltip_ability_oracle_3_magical2magical"	"%Damage: Damage Taken*"
"DOTA_Tooltip_ability_oracle_3_abilityduration" "Death delay: "
"DOTA_Tooltip_modifier_oracle_3_active"						"Fate's Edict"
"DOTA_Tooltip_modifier_oracle_3_active_Description"			"The honorable warrior became a wraith who continues to serve his army after the death, dealing area damage when it's soul dissipated."

//Princess of the Moon
"DOTA_Tooltip_ability_mirana_1"							"Starstorm"
"DOTA_Tooltip_ability_mirana_1_Description"				"After %max_count% attacks, Princess of the Moon's next attack will split into multiple magical arrows. Her attacks will afflict enemy units with a Starstorm effect which reduces their magical armor.\n<h1>Starstorm</h1>Magic armor reduced."
"DOTA_Tooltip_ability_mirana_1_arrow_count"				"Magical Arrow counts: "
"DOTA_Tooltip_ability_mirana_1_damage_pct"				"%Magical arrow damage: Magical damage*"
"DOTA_Tooltip_ability_mirana_1_magical_armor_reduce"	"%Magic armor reduction per stack: "
"DOTA_Tooltip_ability_mirana_1_abilityduration"			"Starstorm duration: "
"DOTA_Tooltip_ability_mirana_1_max_stack"				"Max stacks: "
"DOTA_Tooltip_modifier_mirana_1_buff"					"Starstorm"
"DOTA_Tooltip_modifier_mirana_1_buff_Description"		"Magic armor reduced."
"DOTA_Tooltip_ability_mirana_2"							"Full moon"
"DOTA_Tooltip_ability_mirana_2_Description"				"Princess of the Moon calls down a meteor to damage the enemy unit that reaches the maximum Starstorm stacks, which also temporarily increases her damage until the round ends."
"DOTA_Tooltip_ability_mirana_2_max_count"				"Max Damage stacks: "
"DOTA_Tooltip_ability_mirana_2_damage_pct"				"%Meteor Damage: "
"DOTA_Tooltip_ability_mirana_2_attack_bonus_pct"		"%Bonus Attack: "
"DOTA_Tooltip_ability_mirana_3" 						"Lunar Blessing"
"DOTA_Tooltip_ability_mirana_3_Description" 			"Reduces the mana loss of nearby allies."
"DOTA_Tooltip_ability_mirana_3_radius"					"Radius: " 
"DOTA_Tooltip_ability_mirana_3_manacost_reduce"			"%Mana loss reduce: "
"DOTA_Tooltip_ability_mirana_3_duration"				"Duration: "

//Bounty Hunter
"DOTA_Tooltip_ability_bounty_hunter_3" 						"Track"
"DOTA_Tooltip_ability_bounty_hunter_3_Description" 			"Tracks an enemy unit, reducing its Physical and Magic armor and granting all attacks on the Tracked target a chance to collect Bounty."
"DOTA_Tooltip_ability_bounty_hunter_3_armor_reduce_pct"		"%Armor Reduce: "
"DOTA_Tooltip_ability_bounty_hunter_3_bounty" 				"Max Bounty per unit: "
"DOTA_Tooltip_ability_bounty_hunter_1" 						"Shuriken Toss"
"DOTA_Tooltip_ability_bounty_hunter_1_Description" 			"Hurls a deadly shuriken at an enemy unit, dealing damage and bouncing to other nearby enemy units."
//"DOTA_Tooltip_ability_bounty_hunter_1_Note0" 				"Shuriken Toss is prioritized to aim at Tracked targets."
"DOTA_Tooltip_ability_bounty_hunter_1_bounce_count" 		"Bounces: "
"DOTA_Tooltip_ability_bounty_hunter_1_physical2physical" 	"%Damage: Physical Attack*"
"DOTA_Tooltip_ability_bounty_hunter_2" 						"Smoke Screen"
"DOTA_Tooltip_ability_bounty_hunter_2_Description" 			"Throws down a smoke bomb, slowing enemies, and causing them to miss attacks and receiving critical damage from Bounty Hunter."
"DOTA_Tooltip_ability_bounty_hunter_2_abilityduration" 		"Duration: "
"DOTA_Tooltip_ability_bounty_hunter_2_radius" 				"Radius: "
"DOTA_Tooltip_ability_bounty_hunter_2_attack_miss" 			"%Miss Chance: "
//"DOTA_Tooltip_ability_bounty_hunter_2_physical2physical" 	"%Damage: Physical Attack*"
//"DOTA_Tooltip_ability_bounty_hunter_2_movespeed_reduce_pct" "%Move speed slow: "
"DOTA_Tooltip_ability_bounty_hunter_2_crit_mult" 			"%Critical damage: "
"DOTA_Tooltip_ability_bounty_hunter_2_physical2physical" 	"%Physical damage factor: "

//Dazzle
"DOTA_Tooltip_ability_dazzle_1" 					"Shadow Wave"
"DOTA_Tooltip_ability_dazzle_1_Description" 		"Sends out a bolt of power that arcs between allies, healing them while adding a Fragile effect to any enemy units standing nearby. Dazzle is always healed by Shadow Wave."
"DOTA_Tooltip_ability_dazzle_1_heal_factor" 		"%Magical Damage Factor: "
"DOTA_Tooltip_ability_dazzle_1_radius" 				"Debuff radius: "
"DOTA_Tooltip_ability_dazzle_1_abilityduration" 	"Fragile duration: "
"DOTA_Tooltip_ability_dazzle_1_max_targets" 	    "Max Heal Units: "
"DOTA_Tooltip_ability_dazzle_2" 					"Necromastery"
"DOTA_Tooltip_ability_dazzle_2_Description" 		"The first enemy unit that is killed each round will return to the battlefield and serve for Dazzle as a Wraith, inheriting part of its previous damage."
"DOTA_Tooltip_ability_dazzle_2_attack_pct" 			"%Wraith damage: "
"DOTA_Tooltip_ability_dazzle_3" 					"Shallow Grave"
"DOTA_Tooltip_ability_dazzle_3_Description" 		"The first ally unit that is killed each round will be blessed by Dazzle and get to fight on the battlefield for a while."
"DOTA_Tooltip_ability_dazzle_3_abilityduration" 	"Duration: "
"DOTA_Tooltip_modifier_dazzle_3_grave"				"Shallow Grave"
"DOTA_Tooltip_modifier_dazzle_3_grave_Description"	"Will not die in a while."

//Geomancer Mob
"DOTA_Tooltip_ability_meepo_1" 				         "Geostrike"
"DOTA_Tooltip_ability_meepo_1_Description" 	         "Adds the chance for an attack to stun an enemy unit. Whenever Geomancer Mob stuns an enemy，he gains extra damage that lasts to the end of the current round."
"DOTA_Tooltip_ability_meepo_1_chance" 	             "%Chance: "
"DOTA_Tooltip_ability_meepo_1_stun_time" 	         "Stun duration: "
"DOTA_Tooltip_ability_meepo_1_attack_bonus"      	 "Bonus damage: "
"DOTA_Tooltip_ability_meepo_1_duration"      	     "Bonus duration: "
"DOTA_Tooltip_ability_meepo_2" 				         "Slick and Alert"
"DOTA_Tooltip_ability_meepo_2_Description"			 "When Geomancer Mob is injured heavily, he tosses nets at the nearby enemies and roots them down, teleporting back and healing himself."
"DOTA_Tooltip_ability_meepo_2_trigger_health_pct"	 "%Threshold: "
"DOTA_Tooltip_ability_meepo_2_health_recover"        "%Heal: "
"DOTA_Tooltip_ability_meepo_2_time_delay"            "Duration: "
"DOTA_Tooltip_ability_meepo_2_damage" 	             "%Damage: Physical*"
"DOTA_Tooltip_ability_meepo_2_radius" 	             "Radius: "
"DOTA_Tooltip_ability_meepo_3" 				         "Divided We Stand"
"DOTA_Tooltip_ability_meepo_3_Description" 	         "Geomancer Mob summons several autonomous duplicates of himself into the battlefield."
"DOTA_Tooltip_ability_meepo_3_illusion_count" 		 "Duplicate counts: "

//Grimstroke
"DOTA_Tooltip_ability_grimstrokeA_1"						"Stroke of Fate"
"DOTA_Tooltip_ability_grimstrokeA_1_Description"			"Grimstroke paints a path of ink with his brush when he attacks that damages enemies. The damage is increased with each enemy the ink hits."
"DOTA_Tooltip_ability_grimstrokeA_1_magical2magical"		"%Damage: Magical damage*"
"DOTA_Tooltip_ability_grimstrokeA_1_damage_deepen"			"%Damage Increment per Hit: "
//"DOTA_Tooltip_ability_grimstrokeA_1_distance"				"Max distance: "
"DOTA_Tooltip_ability_grimstrokeA_1_Lore"					"-If Stroke of Fate hits an enemy under Soulbind, it will be casted again from the bind."
"DOTA_Tooltip_ability_grimstrokeA_2"						"Soulbind"
"DOTA_Tooltip_ability_grimstrokeA_2_Description"			"Binds a targeted enemy unit to its nearest allied unit within the bind radius. Any damage dealt to either bound hero will be applied to other."
"DOTA_Tooltip_ability_grimstrokeA_2_distance"				"Latch Radius: "
"DOTA_Tooltip_ability_grimstrokeA_2_damage_pct"				"%Damage: Enemy Damage Taken*"
"DOTA_Tooltip_ability_grimstrokeA_2_abilityduration"		"Duration: "
"DOTA_Tooltip_ability_grimstrokeA_2_Lore"					"-The target will be bound to itself when there is no allied unit around."
"DOTA_Tooltip_modifier_grimstrokeA_2_chain"					"Soulbind"
"DOTA_Tooltip_modifier_grimstrokeA_2_chain_Description"		"Receives the same damage taken from the other bound ally."
"DOTA_Tooltip_modifier_grimstrokeA_2_chain_link"					"Soulbind"
"DOTA_Tooltip_modifier_grimstrokeA_2_chain_link_Description"		"Receives the same damage taken from the other bound ally."
"DOTA_Tooltip_ability_grimstrokeA_3"						"Ink Over"
"DOTA_Tooltip_ability_grimstrokeA_3_Description"			"Creates a maze of ink that expands in the target area after %delay% seconds. Affected enemies will be rooted and take damage over time. The damage done by Ink Over heals Grimstroke in return.<br><br>The damage of Ink Over is spread evenly over all enemies within its range"
"DOTA_Tooltip_ability_grimstrokeA_3_radius"					"Radius: "
"DOTA_Tooltip_ability_grimstrokeA_3_magical_factor"			"%Damage: Magical Damage*"
"DOTA_Tooltip_ability_grimstrokeA_3_abilityduration"		"Root Duration: "
"DOTA_Tooltip_ability_grimstrokeA_3_heal_pct"				"%Heal: Damage Done*"

//Ferryman
"DOTA_Tooltip_ability_warlockA_1" 							"Fatal Bonds"
"DOTA_Tooltip_ability_warlockA_1_Description" 				"Binds several enemy units together, causing a percentage of the damage dealt to one of them to be felt by the others."
"DOTA_Tooltip_ability_warlockA_1_bond_count" 				"Number of Bounces: "
"DOTA_Tooltip_ability_warlockA_1_duration" 					"Bonds Duration: "
"DOTA_Tooltip_ability_warlockA_1_damage_giving" 			"%Damage Shared: "
"DOTA_Tooltip_ability_warlockA_1_Lore"						"- If main aim unit died or disappeared, another aim unit will be choosed due to the queue"
"DOTA_Tooltip_modifier_warlockA_fatal_bonds"				"Fatal Bonds"
"DOTA_Tooltip_modifier_warlockA_fatal_bonds_Description"	"Main Aim Unit"
"DOTA_Tooltip_ability_warlockA_2" 							"Requiem of Demon"
"DOTA_Tooltip_ability_warlockA_2_Description" 				"Releases a wave of evil energy by chanting the Requiem from the hell when an ally dies."
"DOTA_Tooltip_ability_warlockA_2_damage_pct" 				"%Damage: Magical Damage*"
"DOTA_Tooltip_ability_warlockA_2_requiem_line_speed" 		"Releasing speed: "
"DOTA_Tooltip_ability_warlockA_2_requiem_radius" 			"Radius: "
"DOTA_Tooltip_ability_warlockA_2_Lore"      				"- Illusion can NOT trigger the skill"
"DOTA_Tooltip_modifier_warlockA_2" 							"Requiem of Demon"
"DOTA_Tooltip_modifier_warlockA_2_Description" 				"Spell Requiem of Demon by death of allies"
"DOTA_Tooltip_ability_warlockA_3" 							"Ferry"
"DOTA_Tooltip_ability_warlockA_3_Description" 				"Ferryman forced the closest enemy unit to sign his contract, the target will be healed automatically when its health is low, which heals and strengthens Ferryman."
"DOTA_Tooltip_ability_warlockA_3_health_trigle_pct" 		"%HP Threshold: "
"DOTA_Tooltip_ability_warlockA_3_attack_bonus_pct" 					"%Bonus damage: "
"DOTA_Tooltip_ability_warlockA_3_heatlh_recover_pct" 		"%Heal per second: "
"DOTA_Tooltip_ability_warlockA_3_duration" 							"Duration: "

//Nature's Summoner
"DOTA_Tooltip_ability_naturecaller_1" 								"Guardian of Nature"
"DOTA_Tooltip_ability_naturecaller_1_Description" 					"Roots an enemy, damaging it over time and summoning a treant with bonus damage."
"DOTA_Tooltip_ability_naturecaller_1_damage_perseconds_pct" 		"%Root damage: Magical Attack*"
"DOTA_Tooltip_ability_naturecaller_1_duration" 						"Root duration: "
"DOTA_Tooltip_ability_naturecaller_1_tree_attack_bonus" 			"Bonus damage: "
"DOTA_Tooltip_ability_naturecaller_1_abilityduration" 				"Treant duration: "
"DOTA_Tooltip_ability_naturecaller_2" 								"Tranquil Light"
"DOTA_Tooltip_ability_naturecaller_2_Description" 					"Nature's Summoner heals the allies when treants are summoned. Affected allies will be bathed in Tranquil Light afterwards that heals them over time."
//"DOTA_Tooltip_ability_naturecaller_2_tree_recover_perseconds" 		"Instant Heal: "
//"DOTA_Tooltip_ability_naturecaller_2_tree_affect_aura" 				"Aura Radius: "
"DOTA_Tooltip_ability_naturecaller_2_AbilityDuration" 				"Duration: "
"DOTA_Tooltip_ability_naturecaller_2_recover_perseconds_pct" 		"%Heal per second: Magical Attack*"
//"DOTA_Tooltip_ability_naturecaller_2_range" 	            		"Heal Radius: "
"DOTA_Tooltip_ability_naturecaller_3" 								"Nature's request"
"DOTA_Tooltip_ability_naturecaller_3_Description" 					"The damage dealt by Nature's Summoner heals his allies."
"DOTA_Tooltip_ability_naturecaller_3_blood_suck_pct" 	    		"%Heal: Magical damage*"

//Luna
"DOTA_Tooltip_ability_luna_1" 						"Moon Glaives"
"DOTA_Tooltip_ability_luna_1_Description" 			"Empowers Luna's glaives, causing her attacks to bounce between enemy units. Deals more damage with each bounce."
"DOTA_Tooltip_ability_luna_1_count" 			    "Number of Bounces: "
"DOTA_Tooltip_ability_luna_1_range" 				"Bounce Search Radius: "
"DOTA_Tooltip_ability_luna_1_damage_add_per"		"%Damage Increment per Bounce: "
"DOTA_Tooltip_ability_luna_2" 						"Lunar Blessing"
"DOTA_Tooltip_ability_luna_2_Description" 			"Strengthen all allies attack by Lunar Blessing"
"DOTA_Tooltip_ability_luna_2_damage_add_per" 		"Bonus Attack:"
"DOTA_Tooltip_ability_luna_2_abilityduration" 		"Duration:"
"DOTA_Tooltip_modifier_luna_2" 						"Lunar Blessing"
"DOTA_Tooltip_modifier_luna_2_Description" 			"Gain bonus attack due to Lunar Blessing"
// "DOTA_Tooltip_ability_luna_2_damage_add_per" 		"%Crit Point to Bonus damage: "
"DOTA_Tooltip_ability_luna_3" 						"Lucent Expulsion"
"DOTA_Tooltip_ability_luna_3_Description" 			"Summons a Lucent Beam that deals damage and sucks in enemy units, then summons a Lucent Meteor over the target area, damaging and slowing affected enemies."
"DOTA_Tooltip_ability_luna_3_radius" 	    		"Radius: "
"DOTA_Tooltip_ability_luna_3_moon_damage_per" 	    "%Lucent Beam Damage: Physical Attack*"
"DOTA_Tooltip_ability_luna_3_star_damage_per" 	    "%Lucent Meteor Damage: Physical Attack*"
"DOTA_Tooltip_ability_luna_3_slow_per" 	    		"%Move Speed Slow: "
"DOTA_Tooltip_ability_luna_3_slow_duration" 	    "Duration: "
// "DOTA_Tooltip_modifier_luna_2" 						"Standpatter"
// "DOTA_Tooltip_modifier_luna_2_Description" 			"Luna sacrificed her Critical Damage for %dMODIFIER_PROPERTY_TOOLTIP%%% bonus Physical Damage and %dMODIFIER_PROPERTY_TOOLTIP2%%% Magical Damage."
"DOTA_Tooltip_modifier_luna_3_slow" 				"Lucent Expulsion"
"DOTA_Tooltip_modifier_luna_3_slow_Description" 	"Slowed by %dMODIFIER_PROPERTY_TOOLTIP%%%."

//Pangolier
"DOTA_Tooltip_ability_pangolier_1"						"Swashbuckle"
"DOTA_Tooltip_ability_pangolier_1_Description"			"Pangolier slashes all enemies in front of him with several quick swipes that have a chance to deal Critical Damage."
"DOTA_Tooltip_ability_pangolier_1_swashbuckle_count"	"Number of Slashes: "
"DOTA_Tooltip_ability_pangolier_1_chance"				"%Critical Chance:"
"DOTA_Tooltip_ability_pangolier_1_crit_mult"			"%Critical Damage:"
"DOTA_Tooltip_ability_pangolier_1_range"				"Radius: "
"DOTA_Tooltip_ability_pangolier_2"						"Shield Crash"
"DOTA_Tooltip_ability_pangolier_2_Description"			"Pangolier jumps in the air and slams back to the ground in front of his current position, damaging and stunning all enemies in a radius. For each enemy hero hit, he gains a percentage of incoming damage reduction for a short time."
"DOTA_Tooltip_ability_pangolier_2_Note0"				"Each Elite enemy is counted as %armor_elite_factor% units."
"DOTA_Tooltip_ability_pangolier_2_impact_radius"		"Radius: "
"DOTA_Tooltip_ability_pangolier_2_physical2physical"	"%Damage: Physical Attack*"
"DOTA_Tooltip_ability_pangolier_2_impact_stun_duration"	"Stun Duration: "
"DOTA_Tooltip_ability_pangolier_2_armor_per_unit"		"%Damage reduce: Enemies hit*"
"DOTA_Tooltip_ability_pangolier_2_abilityduration"		"Damage Reduce Duration: "
"DOTA_Tooltip_modifier_pangolier_2_shield"				"Shield Crash"
"DOTA_Tooltip_modifier_pangolier_2_shield_Description"	"Reduces the damage taken."
"DOTA_Tooltip_ability_pangolier_3"						"Heartpiercer"
"DOTA_Tooltip_ability_pangolier_3_Description"			"When attacked, Pangolier has a chance to immediately counterattack with bonus damage."
"DOTA_Tooltip_ability_pangolier_3_counter_chance"		"%Proc Chance: "
"DOTA_Tooltip_ability_pangolier_3_bonus_damage_pct"		"%Bonus Damage: Physical Attack*"
"DOTA_Tooltip_ability_pangolier_3_range"		        "Max distance:"
"DOTA_Tooltip_ability_pangolier_3_Lore"					"-Heartpiercer has no internal cooldown."

//Succubus
"DOTA_Tooltip_ability_succubi_1"						"Bewitching Feather"
"DOTA_Tooltip_ability_succubi_1_Description"			"Hurls a bunch of poisoned feathers that each will deal large initial damage, and then apply a layer of Biotoxin effect on the hit target.\n<h1>Biotoxin</h1>Biotoxin deal 60 pure damage per stack per second"
"DOTA_Tooltip_ability_succubi_1_strike_count"			"Number of feathers: "
"DOTA_Tooltip_ability_succubi_1_strike_damage_pct"		"%Initial damage: magical damage*"
"DOTA_Tooltip_ability_succubi_1_strike_dmg_persecond"	"%Poison Damage: Magical Damage*"
"DOTA_Tooltip_ability_succubi_1_Lore"					"-The poison of Bewitching Feather lasts till the end of current round."
"DOTA_Tooltip_modifier_succubi_1_shadow_strike_debuff"						"Biotoxin"
"DOTA_Tooltip_modifier_succubi_1_shadow_strike_debuff_Description"			"Takes damage over time."
"DOTA_Tooltip_ability_succubi_2"						"Scream of Pain"
"DOTA_Tooltip_ability_succubi_2_Description"			"Succubus lets loose a piercing scream around her to damage enemy, damaging nearby enemies based on their Biotoxin Stacks."
"DOTA_Tooltip_ability_succubi_2_distance"				"Search Radius: "
"DOTA_Tooltip_ability_succubi_2_bonus_damage"			"%Scream Damage: Magical Damage*"
"DOTA_Tooltip_ability_succubi_2_damage"					"%Damage: Biotoxin Stacks*Magical Damage*"
"DOTA_Tooltip_ability_succubi_3"						"Purgatory Field"
"DOTA_Tooltip_ability_succubi_3_Description"			"Summons and expands Purgatory Field over time, slowing and applying a stack of Biotoxin to affected enemies per second."
"DOTA_Tooltip_ability_succubi_3_radius"					"Initial Radius:"
"DOTA_Tooltip_ability_succubi_3_radius_max"			    "Max Radius:"
"DOTA_Tooltip_ability_succubi_3_time"			        "Time Needed:"
"DOTA_Tooltip_ability_succubi_3_movement_decrease_pct"	"%Move Speed Slow: "
"DOTA_Tooltip_ability_succubi_3_strike_count_increase"	"Biotoxin Stacks: "
"DOTA_Tooltip_ability_succubi_3_Lore"					"-The Purgatory Field is summoned at a random enemy unit when a round starts."
"DOTA_Tooltip_modifier_succbi_3_debuff"					"Purgatory Field"
"DOTA_Tooltip_modifier_succbi_3_debuff_Description"		"Slowed and poisoned over time."

//Alchemist
"DOTA_Tooltip_ability_alchemist_1"						"Chemical Rage"
"DOTA_Tooltip_ability_alchemist_1_Description"			"Alchemist causes his Ogre to enter a chemically induced rage, increasing attack speed, movement speed and health regeneration."
"DOTA_Tooltip_ability_alchemist_1_attack_bonus_pct"		"%Physical Attack Bonus: "
"DOTA_Tooltip_ability_alchemist_1_attackspeed"			"Attack speed bonus: "
"DOTA_Tooltip_ability_alchemist_1_movespeed"			"Move Speed Bonus: "
"DOTA_Tooltip_ability_alchemist_1_heal_regen_pct"		"%Health Regen: Max HP*"
"DOTA_Tooltip_ability_alchemist_1_abilityduration"		"Duration: "
"DOTA_Tooltip_ability_alchemist_1_Lore"					"-Allies Health Regen during Chemical Rage is calculated based on its own Max HP."
"DOTA_Tooltip_modifier_alchemist_1_buff"				"Chemical Rage"
"DOTA_Tooltip_modifier_alchemist_1_buff_Description"	"Increased attack speed, movement speed and health regeneration."
"DOTA_Tooltip_ability_alchemist_2"						"Advancede Fomula"
"DOTA_Tooltip_ability_alchemist_2_Description"			"Alchemist's Ogre gains bonus Physical Damage, HP and Armor each time it is enraged, which lasts untill the end of current round."
"DOTA_Tooltip_modifier_alchemist_2"						"Advancede Fomula"
"DOTA_Tooltip_modifier_alchemist_2_Description"			"Increased Physical Damage, Health Regeneration and Armor."
"DOTA_Tooltip_ability_alchemist_2_attack"				"Bonus Damage: "
"DOTA_Tooltip_ability_alchemist_2_health"				"Bonus Health: "
"DOTA_Tooltip_ability_alchemist_2_armor"				"Bonus Armor: "
"DOTA_Tooltip_ability_alchemist_3"						"Berserk Potion"
"DOTA_Tooltip_ability_alchemist_3_Description"			"Alchemist throws several potions at nearby allies, causing them to enter a chemically induced rage."
"DOTA_Tooltip_ability_alchemist_3_mana_cost"			"Number of Potions: Mana costed /"
"DOTA_Tooltip_ability_alchemist_3_abilityduration"		"Duration: "
"DOTA_Tooltip_ability_alchemist_3_Lore"					"-Each ally can only be enraged once. Summoned units can be targeted."

//Stormcrafter
"DOTA_Tooltip_ability_disruptor_1"						"Static Storm"
"DOTA_Tooltip_ability_disruptor_1_Description"			"Creates a static storm that damages all enemy units in the area for the duration."
"DOTA_Tooltip_ability_disruptor_1_radius"				"Radius: "
"DOTA_Tooltip_ability_disruptor_1_magical2magical"		"%Damage: Magical Damage*"
"DOTA_Tooltip_ability_disruptor_1_interval"				"Damage Interval: "
"DOTA_Tooltip_ability_disruptor_1_abilityduration"		"Duration: "
"DOTA_Tooltip_ability_disruptor_2"						"Static Enchant"
"DOTA_Tooltip_ability_disruptor_2_Description"			"Static Storm enchants all the allies within its radius, increasing their Magic armor and strengthens their attacks to slow effect based on Stormcrafter's Magical armor."
"DOTA_Tooltip_ability_disruptor_2_magical_armor"		"%Bonus Magic Armor: "
//"DOTA_Tooltip_ability_disruptor_2_magical_armor_factor"	"%Magic armor to damage: "
"DOTA_Tooltip_ability_disruptor_2_reduce_pct"			"%Attack and Move speed slow: "
"DOTA_Tooltip_ability_disruptor_2_duration"				"Slow Duration: "
"DOTA_Tooltip_ability_disruptor_3"						"Kinetic Shield"
"DOTA_Tooltip_ability_disruptor_3_Description"			"Increases Stormcrafter's Magical Damage and Magical armor. Kinetic Shield will be transfered to a nearby ally when Stormcrafter dies."
"DOTA_Tooltip_ability_disruptor_3_magical_armor"		"Bonus Magic Armor: "
"DOTA_Tooltip_ability_disruptor_3_armor2magical"		"%Bonus Magical Damage: Magic Armor*"
"DOTA_Tooltip_modifier_disruptor_2_buff"				"Static Enchant"
"DOTA_Tooltip_modifier_disruptor_2_buff_Description"	"Magic armor increased, this unit deals damage with bonus Magical Damage and slow effect."
"DOTA_Tooltip_modifier_disruptor_3_buff"				"Kinetic Shield"
"DOTA_Tooltip_modifier_disruptor_3_buff_Description"	"Magical Damage and armor increased."

//Enigma
"DOTA_Tooltip_ability_enigma_1"							"Demonic Conversion"
"DOTA_Tooltip_ability_enigma_1_Description"				"Transforms a creep into several fragments of Enigma himself. Repeated successful attacks will cause these Eidolons to multiply into 3."
"DOTA_Tooltip_ability_enigma_1_division_attackcount"	"Attacks to Multiply: "
"DOTA_Tooltip_ability_enigma_1_enigma_attack"			"Eidolon's damage: "
"DOTA_Tooltip_ability_enigma_1_enigma_health"			"Eidolon's HP: "
"DOTA_Tooltip_ability_enigma_1_enigma_armor"			"Eidolon's Armor: "
"DOTA_Tooltip_ability_enigma_1_duration"				"Duration: "
"DOTA_Tooltip_ability_enigma_1_Lore"					"-Eidolons will not multiply twice."
"DOTA_Tooltip_modifier_enigma_1_enigma"					"Demonic Conversion"
"DOTA_Tooltip_modifier_enigma_1_enigma_Description"		"Multiply after a few successful attacks."
"DOTA_Tooltip_modifier_enigma_1_enigma3"				"Demonic Conversion"
"DOTA_Tooltip_modifier_enigma_1_enigma3_Description"	"Multiplied Eidolons last for a while."
"DOTA_Tooltip_ability_enigma_2"							"Malefice"
"DOTA_Tooltip_ability_enigma_2_Description"				"Eidolons's attacks will repeatedly stun their targets for multiple instances, damaging them and healing Eidolons themselves."
"DOTA_Tooltip_ability_enigma_2_health_damage_pct"		"%Damage per Second: Max HP*"
"DOTA_Tooltip_ability_enigma_2_health_damage_boss_pct"	"%Damage to Boss per Second: Max HP*"
"DOTA_Tooltip_ability_enigma_2_duration"				"Duration: "
//"DOTA_Tooltip_ability_enigma_2_Lore"					"-Strange gravities pull at the core of those who would oppose you, holding them in place."
"DOTA_Tooltip_modifier_enigma_2_enemy_buff"				"Malefice"
"DOTA_Tooltip_modifier_enigma_2_enemy_buff_Description"	"Stunned and Takes damage over time."
"DOTA_Tooltip_ability_enigma_3"							"Black Hole"
"DOTA_Tooltip_ability_enigma_3_Description"				"Grants Eidolons the ability to summon a vortex that sucks in nearby enemy units.Deals damage base on magical attack for elites and BOSS"
"DOTA_Tooltip_ability_enigma_3_damage_percent"			"%Damage per second：Max HP*"
"DOTA_Tooltip_ability_enigma_3_pull_radius"				"Radius: "
"DOTA_Tooltip_ability_enigma_3_duration"				"Duration: "
"DOTA_Tooltip_ability_enigma_3_damage_factor"			"%Damage to BOSS：Magical Attack*"
"DOTA_Tooltip_modifier_enigma_3_pull"					"Black Hole"
"DOTA_Tooltip_modifier_enigma_3_pull_Description"		"Trapped in Black Hole and loses health over time."

//Lycan
"DOTA_Tooltip_ability_lycan_1"							"Feral Impulse"
"DOTA_Tooltip_ability_lycan_1_Description"				"After %attack_count% attacks, Lycan tears apart the wound of his target. The smell of blood inspires all his allies' animality.\n<h1>Inspired</h1>Increases HP and Physical damage."
"DOTA_Tooltip_ability_lycan_1_physical2physical"		"%Tear base damage: Physical Damage*"
"DOTA_Tooltip_ability_lycan_1_tear_damage"				"%Tear Bonus Damage: Max HP*"
"DOTA_Tooltip_ability_lycan_1_max_stack"				"Max Inspiration Stacks: "
"DOTA_Tooltip_ability_lycan_1_bonus_health"				"%Inspiration Bonus HP: "
"DOTA_Tooltip_ability_lycan_1_bonus_attack"				"%Inspiration Bonus Damage: "
"DOTA_Tooltip_ability_lycan_1_Lore"						"-The HP and damage increment is calculated on the targets' own status."
"DOTA_Tooltip_modifier_lycan_1_buff"					"Feral Impulse"
"DOTA_Tooltip_modifier_lycan_1_buff_Description"		"Increased HP and Physical Damage."
"DOTA_Tooltip_modifier_lycan_1_debuff"					"Feral Impulse"
"DOTA_Tooltip_modifier_lycan_1_debuff_Description"		"Its wound was torn apart."
"DOTA_Tooltip_ability_lycan_2"							"Summon Wolves"
"DOTA_Tooltip_ability_lycan_2_Description"				"Summons wolves to fight for Lycan that cause bleeding with their attacks. Any death happened in Lycan's family enrages the rest.\n<h1>Enrage</h1>Grants a chance to deal Critical damage and attack rapidly."
"DOTA_Tooltip_ability_lycan_2_wolf_count"				"Number of Wolves: "
"DOTA_Tooltip_ability_lycan_2_health_pct"				"%Wolves HP: Max HP*"
"DOTA_Tooltip_ability_lycan_2_attack_pct"				"%Wolves Damage: Physical Damage*"
"DOTA_Tooltip_ability_lycan_2_tear_duration"			"Bleeding Duration: "
"DOTA_Tooltip_ability_lycan_2_physical2physical"		"%Bleeding Damage: Physical Damage*"
"DOTA_Tooltip_ability_lycan_2_incentive_duration"		"Enrage Duration: "
"DOTA_Tooltip_ability_lycan_2_crit_chance"				"%Enrage Crit Chance:"
"DOTA_Tooltip_ability_lycan_2_crit_mult"				"%Enrage Crit Damage:"
"DOTA_Tooltip_ability_lycan_2_attackspeed_pct"			"%Enrage Bonus Attack Speed: "
"DOTA_Tooltip_modifier_lycan_2_wolf"					"Wolves"
"DOTA_Tooltip_modifier_lycan_2_wolf_Description"		"Fights for Lycan for a while."
"DOTA_Tooltip_modifier_lycan_2_tear"					"Bleeding"
"DOTA_Tooltip_modifier_lycan_2_tear_Description"		"Loses health over time."
"DOTA_Tooltip_modifier_lycan_2_incentive"				"Enraged"
"DOTA_Tooltip_modifier_lycan_2_incentive_Description"	"Grants a chance to deal Critical damage and attack faster."
"DOTA_Tooltip_ability_lycan_3"							"Shapeshift"
